epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3297,1.88019,3.44974,0.06363,0.34357,0.55581,0.15474,0.33064,0.15015,1.29115,3.48403,0.07353,0.29003,0.00048,0.00048,0.00048
2,31.8219,1.44941,2.91712,0.0598,0.26819,0.48527,0.55056,0.53179,0.3138,1.09729,2.91073,0.07467,0.294,0.000970298,0.000970298,0.000970298
3,44.7756,1.37623,2.41588,0.0626,0.30076,0.47282,0.62921,0.58323,0.34781,1.04588,2.92178,0.07294,0.27085,0.0014507,0.0014507,0.0014507
4,58.0107,1.38074,2.04859,0.06544,0.27504,0.63651,0.51159,0.67662,0.42491,1.05948,2.29141,0.06883,0.27075,0.00192119,0.00192119,0.00192119
5,70.9098,1.39812,1.9014,0.05973,0.26282,0.70361,0.61798,0.67651,0.40018,1.13309,2.2514,0.0834,0.25625,0.0019208,0.0019208,0.0019208
6,83.9088,1.37224,1.83047,0.05965,0.24396,0.59621,0.68022,0.73204,0.46288,1.11368,1.72326,0.07017,0.24141,0.001901,0.001901,0.001901
7,97.0887,1.36028,1.80406,0.05624,0.26822,0.8107,0.62557,0.79732,0.54876,0.95625,1.59096,0.06857,0.20011,0.0018812,0.0018812,0.0018812
8,110.038,1.33133,1.51071,0.05251,0.24568,0.72084,0.76404,0.79647,0.53549,1.01095,1.40082,0.05736,0.26134,0.0018614,0.0018614,0.0018614
9,122.923,1.36703,1.45043,0.04978,0.24895,0.79293,0.81749,0.87357,0.57141,1.03247,1.2752,0.06303,0.24369,0.0018416,0.0018416,0.0018416
10,136.352,1.3591,1.31403,0.05046,0.24049,0.79325,0.81908,0.85494,0.57385,1.01822,1.1396,0.06173,0.22411,0.0018218,0.0018218,0.0018218
11,149.734,1.30414,1.23688,0.04812,0.2223,0.70411,0.89888,0.84918,0.58631,1.04176,1.00761,0.05731,0.23054,0.001802,0.001802,0.001802
12,162.678,1.36446,1.23996,0.04751,0.23482,0.74395,0.77528,0.85461,0.60366,0.98934,1.02836,0.05513,0.20173,0.0017822,0.0017822,0.0017822
13,175.944,1.33767,1.23087,0.04653,0.21467,0.77473,0.76404,0.82689,0.57725,0.95712,1.02262,0.0591,0.19752,0.0017624,0.0017624,0.0017624
14,188.942,1.25904,1.08648,0.04993,0.18979,0.68627,0.85393,0.8044,0.53506,1.08381,0.9607,0.05913,0.21878,0.0017426,0.0017426,0.0017426
15,202.413,1.34652,1.14133,0.04867,0.22963,0.71536,0.79775,0.82666,0.56439,0.98944,0.88157,0.05147,0.22786,0.0017228,0.0017228,0.0017228
16,216.567,1.2891,1.01633,0.04539,0.22177,0.74788,0.8666,0.85805,0.57376,1.03518,0.81194,0.05637,0.2181,0.001703,0.001703,0.001703
17,230.228,1.21242,0.91201,0.04435,0.17821,0.82249,0.88507,0.89249,0.60246,1.02841,0.69933,0.05762,0.1704,0.0016832,0.0016832,0.0016832
18,243.709,1.24824,0.96568,0.04577,0.19856,0.88639,0.87661,0.94815,0.67208,0.97667,0.64474,0.05407,0.19201,0.0016634,0.0016634,0.0016634
19,257.441,1.20027,0.95046,0.04524,0.19149,0.87771,0.80647,0.91347,0.64682,1.00074,0.69625,0.05626,0.14905,0.0016436,0.0016436,0.0016436
20,271.085,1.18312,0.94936,0.04772,0.17421,0.89783,0.83146,0.93982,0.70492,0.90891,0.5832,0.05857,0.14093,0.0016238,0.0016238,0.0016238
21,284.323,1.27426,0.8928,0.04723,0.19637,0.8793,0.90045,0.94469,0.69942,0.94989,0.55715,0.05303,0.15269,0.001604,0.001604,0.001604
22,297.545,1.16762,0.84062,0.04177,0.16652,0.8791,0.8987,0.94093,0.67391,0.88081,0.59605,0.05577,0.16554,0.0015842,0.0015842,0.0015842
23,310.488,1.1683,0.86496,0.04839,0.17913,0.89633,0.87433,0.93914,0.66463,0.97394,0.59193,0.05781,0.15128,0.0015644,0.0015644,0.0015644
24,323.341,1.13512,0.75794,0.04542,0.14971,0.91013,0.89888,0.95783,0.68548,0.91333,0.5706,0.05079,0.14203,0.0015446,0.0015446,0.0015446
25,336.744,1.20314,0.85272,0.04357,0.17461,0.92624,0.8764,0.95634,0.69348,0.87139,0.4944,0.05145,0.142,0.0015248,0.0015248,0.0015248
26,350.482,1.11673,0.83737,0.0441,0.13976,0.92125,0.91011,0.96928,0.71745,0.85405,0.45058,0.05417,0.1437,0.001505,0.001505,0.001505
27,363.59,1.0908,0.80745,0.04263,0.12753,0.95168,0.8853,0.95227,0.69782,0.90301,0.50615,0.05384,0.15887,0.0014852,0.0014852,0.0014852
28,376.705,1.18903,0.85628,0.04284,0.15311,0.93929,0.91011,0.96904,0.70616,0.91361,0.51594,0.0575,0.14075,0.0014654,0.0014654,0.0014654
29,389.558,1.1188,0.79008,0.04352,0.1441,0.91694,0.86833,0.96638,0.71926,0.88808,0.47306,0.0539,0.15865,0.0014456,0.0014456,0.0014456
30,402.438,1.15563,0.8387,0.03905,0.16848,0.99828,0.8427,0.96705,0.73874,0.80079,0.43315,0.05344,0.14058,0.0014258,0.0014258,0.0014258
31,415.576,1.12728,0.76199,0.04078,0.1557,0.91197,0.88764,0.9485,0.69233,0.86552,0.5496,0.05688,0.13375,0.001406,0.001406,0.001406
32,428.476,1.12988,0.7327,0.04143,0.13898,0.96633,0.89888,0.96714,0.7246,0.80109,0.4504,0.05438,0.14366,0.0013862,0.0013862,0.0013862
