                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3583,                 2.5389,                  2.503,                0.75519,                    0.8,                 0.6983,                 0.3654,                 1.2994,                 1.3932,                 1.6492,                0.00032,                0.00032,                0.00032
                      2,                 1.6359,                 1.4529,                 2.0155,                0.84898,                   0.92,                0.94749,                0.69016,                 1.0411,                 1.1807,                 1.4976,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.2824,                 1.0766,                 1.9807,                0.97829,                   0.96,                0.96385,                0.67192,                 1.0149,                 1.2607,                  1.463,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.1974,                0.92523,                 1.9971,                0.97446,                   0.96,                0.98948,                0.78135,                0.75741,                0.75345,                 1.5116,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.0899,                0.87057,                 1.8964,                0.66362,                   0.84,                0.80979,                0.55672,                 1.0569,                 2.0168,                 1.7891,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.1082,                 0.8888,                 1.8422,                0.96024,                 0.9663,                0.99346,                 0.7588,                0.79748,                0.86389,                 1.3835,               0.001901,               0.001901,               0.001901
                      7,                 1.0672,                0.83372,                 1.7732,                0.99496,                   0.96,                0.99071,                0.80702,                0.67832,                0.69156,                 1.3524,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.162,                0.82761,                 1.7949,                0.99618,                   0.96,                0.96426,                0.74536,                0.78435,                0.68615,                 1.3093,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0366,                 0.7452,                 1.7354,                      1,                0.90818,                0.96663,                0.70136,                 0.8786,                0.91696,                 1.6669,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0809,                0.78792,                 1.8164,                0.99178,                      1,                  0.995,                0.79808,                0.70662,                0.59604,                 1.3637,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93654,                0.74541,                 1.8081,                0.95492,                      1,                0.99192,                0.80465,                0.64983,                0.61918,                 1.4687,               0.001802,               0.001802,               0.001802
                     12,                0.90496,                0.70458,                 1.7365,                0.97589,                      1,                  0.995,                0.83968,                0.65227,                0.54452,                 1.5035,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.8758,                0.66939,                 1.7563,                0.95803,                      1,                0.99346,                0.87502,                0.57501,                0.49669,                 1.5311,              0.0017624,              0.0017624,              0.0017624
                     14,                0.85399,                0.64301,                 1.7272,                0.99683,                   0.96,                0.98833,                0.82794,                0.54923,                0.46261,                 1.4027,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83781,                0.62754,                  1.744,                0.96087,                      1,                0.98577,                0.84525,                0.58268,                0.54997,                 1.4803,              0.0017228,              0.0017228,              0.0017228
                     16,                0.84466,                0.62351,                 1.7361,                 0.9936,                      1,                  0.995,                0.85823,                0.58572,                0.52023,                 1.3984,               0.001703,               0.001703,               0.001703
                     17,                0.86152,                0.61829,                 1.7169,                0.99732,                      1,                  0.995,                0.89053,                0.50026,                0.45381,                 1.3458,              0.0016832,              0.0016832,              0.0016832
                     18,                0.82828,                 0.6149,                 1.7651,                 0.9974,                      1,                  0.995,                0.91068,                0.48807,                0.40997,                 1.3442,              0.0016634,              0.0016634,              0.0016634
                     19,                0.75912,                0.54812,                 1.7223,                0.96111,                0.98898,                0.98885,                0.89721,                0.47729,                 0.4773,                 1.3294,              0.0016436,              0.0016436,              0.0016436
                     20,                0.79525,                0.57532,                 1.7189,                0.96048,                0.97243,                0.99346,                0.90627,                0.49365,                0.41077,                 1.2699,              0.0016238,              0.0016238,              0.0016238
                     21,                0.77523,                0.53986,                 1.6765,                0.95862,                      1,                0.99192,                0.89661,                 0.4722,                0.42815,                 1.2633,               0.001604,               0.001604,               0.001604
                     22,                 0.8012,                 0.5697,                 1.7392,                0.92507,                0.98794,                0.97924,                0.82694,                0.54297,                0.56644,                 1.3981,              0.0015842,              0.0015842,              0.0015842
                     23,                0.75544,                0.56109,                 1.6595,                0.99656,                      1,                  0.995,                0.89876,                0.50394,                0.40084,                 1.3363,              0.0015644,              0.0015644,              0.0015644
                     24,                0.76002,                0.54869,                 1.7052,                0.99745,                      1,                  0.995,                0.93464,                0.41269,                0.37624,                 1.3492,              0.0015446,              0.0015446,              0.0015446
