epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,101.721,1.12615,3.94851,0.02637,0.13805,0.29232,0.45918,0.29512,0.22851,0.78837,3.71169,0.0371,0.16649,0.000368033,0.000368033,0.000368033
2,192.106,0.92675,2.5201,0.02563,0.12269,0.46195,0.60274,0.52505,0.43125,0.72304,2.68224,0.03749,0.13831,0.000731057,0.000731057,0.000731057
3,282.344,0.87189,1.91463,0.02372,0.1133,0.61701,0.73574,0.71056,0.5939,0.6923,2.00178,0.03533,0.12194,0.00108675,0.00108675,0.00108675
4,371.326,0.83372,1.41982,0.02191,0.10851,0.78735,0.83985,0.8791,0.75926,0.66037,1.4457,0.03645,0.10475,0.001078,0.001078,0.001078
5,460.423,0.80103,1.14175,0.02378,0.09911,0.83968,0.82997,0.91103,0.79648,0.61047,1.14056,0.03509,0.09999,0.001067,0.001067,0.001067
6,549.579,0.79026,0.96692,0.02086,0.09025,0.86773,0.84754,0.92698,0.82587,0.55642,0.96497,0.03386,0.08077,0.00105601,0.00105601,0.00105601
7,638.372,0.80303,0.88442,0.02145,0.1096,0.88127,0.83693,0.9345,0.83023,0.60881,0.83737,0.02922,0.11327,0.00104501,0.00104501,0.00104501
8,727.295,0.74877,0.77039,0.021,0.09216,0.86972,0.8655,0.93408,0.83367,0.57522,0.67799,0.03116,0.08688,0.00103401,0.00103401,0.00103401
9,815.543,0.7691,0.72699,0.02135,0.09078,0.88888,0.8952,0.94867,0.8568,0.56286,0.6085,0.02874,0.0829,0.00102301,0.00102301,0.00102301
10,903.83,0.74037,0.67766,0.02025,0.08645,0.89634,0.8647,0.94847,0.862,0.53737,0.55097,0.03079,0.07245,0.00101201,0.00101201,0.00101201
11,991.806,0.71575,0.63115,0.01968,0.08022,0.86773,0.87316,0.94406,0.8583,0.5725,0.54091,0.0324,0.08569,0.00100101,0.00100101,0.00100101
12,1079.53,0.70426,0.61568,0.02047,0.07908,0.89729,0.8751,0.94966,0.875,0.5033,0.49721,0.03243,0.06437,0.000990012,0.000990012,0.000990012
13,1167.68,0.7019,0.58395,0.02049,0.07583,0.88962,0.91779,0.95525,0.88289,0.49414,0.44553,0.03037,0.06015,0.000979013,0.000979013,0.000979013
14,1255.54,0.70111,0.56661,0.02017,0.07584,0.90644,0.90376,0.95544,0.88464,0.4924,0.42697,0.03058,0.0627,0.000968014,0.000968014,0.000968014
15,1343.46,0.68326,0.53695,0.01991,0.07434,0.89524,0.92993,0.96369,0.88594,0.501,0.3995,0.02925,0.0616,0.000957015,0.000957015,0.000957015
16,1431.34,0.68336,0.51962,0.0207,0.07227,0.90951,0.91664,0.96497,0.88728,0.50272,0.39796,0.03138,0.06423,0.000946016,0.000946016,0.000946016
17,1519.23,0.68335,0.54587,0.02134,0.06997,0.92173,0.92043,0.96624,0.89256,0.49151,0.38478,0.03043,0.05318,0.000935018,0.000935018,0.000935018
18,1607.13,0.67665,0.51595,0.01999,0.0685,0.92408,0.91635,0.96602,0.89199,0.48588,0.36542,0.02772,0.06957,0.000924019,0.000924019,0.000924019
19,1694.91,0.64698,0.49262,0.01903,0.06567,0.93163,0.90676,0.96547,0.89906,0.50088,0.36155,0.03124,0.06136,0.00091302,0.00091302,0.00091302
20,1782.65,0.63824,0.48199,0.02005,0.06448,0.92383,0.92991,0.9702,0.89991,0.49065,0.35651,0.02938,0.0686,0.000902021,0.000902021,0.000902021
21,1870.65,0.66313,0.48937,0.02124,0.06593,0.92854,0.92699,0.97202,0.90628,0.46056,0.32876,0.03053,0.05367,0.000891022,0.000891022,0.000891022
22,1958.45,0.65364,0.45988,0.01926,0.06408,0.91867,0.94328,0.97611,0.9065,0.4784,0.32114,0.02693,0.05809,0.000880023,0.000880023,0.000880023
23,2046.36,0.64778,0.45026,0.01889,0.06917,0.9304,0.94005,0.97539,0.90426,0.47971,0.30784,0.02747,0.05063,0.000869024,0.000869024,0.000869024
