epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,101.031,1.12299,3.73236,0.02568,0.13604,0.26848,0.46009,0.29405,0.23229,0.76784,3.66088,0.03809,0.15566,0.000368033,0.000368033,0.000368033
2,189.768,0.90463,2.44042,0.02606,0.12485,0.44251,0.59741,0.54849,0.44962,0.7306,2.73283,0.03754,0.13754,0.000731057,0.000731057,0.000731057
3,277.029,0.87767,1.8208,0.02352,0.10784,0.63712,0.74759,0.742,0.61798,0.68765,2.02748,0.03799,0.10063,0.00108675,0.00108675,0.00108675
4,364.138,0.86143,1.4487,0.02427,0.10717,0.80792,0.76246,0.86866,0.74369,0.66236,1.50519,0.03842,0.09612,0.001078,0.001078,0.001078
5,451.986,0.82682,1.20639,0.02358,0.10353,0.81323,0.85641,0.91096,0.79618,0.64412,1.20815,0.03694,0.09586,0.001067,0.001067,0.001067
6,539.292,0.82705,1.08644,0.02306,0.09691,0.84463,0.84302,0.92071,0.81779,0.6226,0.98895,0.02997,0.08476,0.00105601,0.00105601,0.00105601
7,626.419,0.78016,0.92396,0.02072,0.09306,0.85369,0.89454,0.94603,0.85074,0.5533,0.76474,0.03031,0.07492,0.00104501,0.00104501,0.00104501
8,713.55,0.77399,0.80061,0.0206,0.08472,0.89957,0.88366,0.95251,0.85746,0.56882,0.70636,0.03011,0.07643,0.00103401,0.00103401,0.00103401
9,800.609,0.74323,0.71913,0.02011,0.08361,0.90163,0.88386,0.95501,0.86135,0.5429,0.60117,0.02951,0.06923,0.00102301,0.00102301,0.00102301
10,887.71,0.73848,0.68614,0.02122,0.08084,0.91106,0.8815,0.9593,0.86981,0.54488,0.53756,0.02971,0.07251,0.00101201,0.00101201,0.00101201
11,974.876,0.72123,0.65293,0.01983,0.08088,0.87967,0.93891,0.95879,0.87067,0.5201,0.51907,0.02913,0.06193,0.00100101,0.00100101,0.00100101
12,1061.61,0.72624,0.61771,0.02053,0.08138,0.90643,0.90874,0.96599,0.88711,0.52085,0.49081,0.03113,0.05943,0.000990012,0.000990012,0.000990012
13,1148.68,0.70448,0.59888,0.02049,0.07791,0.90896,0.92453,0.96723,0.89181,0.46926,0.44962,0.03178,0.05229,0.000979013,0.000979013,0.000979013
14,1235.68,0.6839,0.58264,0.02057,0.07187,0.89897,0.91275,0.96462,0.88928,0.46549,0.43859,0.03007,0.05706,0.000968014,0.000968014,0.000968014
15,1322.79,0.67961,0.54004,0.01998,0.07365,0.89378,0.91527,0.96219,0.88096,0.51494,0.43001,0.031,0.0622,0.000957015,0.000957015,0.000957015
16,1409.66,0.7028,0.55933,0.02087,0.07205,0.9226,0.91625,0.96682,0.88534,0.54108,0.44694,0.02948,0.05388,0.000946016,0.000946016,0.000946016
17,1496.36,0.67027,0.53985,0.01981,0.07219,0.9382,0.89933,0.97039,0.90267,0.48243,0.36472,0.02983,0.05108,0.000935018,0.000935018,0.000935018
18,1583.75,0.69721,0.53395,0.02028,0.07485,0.88916,0.93858,0.9699,0.89979,0.47304,0.3554,0.03158,0.05007,0.000924019,0.000924019,0.000924019
19,1670.55,0.66396,0.5305,0.01934,0.06647,0.93235,0.89276,0.96965,0.89429,0.50923,0.41152,0.03092,0.05404,0.00091302,0.00091302,0.00091302
20,1756.93,0.67202,0.50577,0.02062,0.06925,0.9037,0.92944,0.97099,0.90643,0.4447,0.34744,0.02875,0.04878,0.000902021,0.000902021,0.000902021
21,1843,0.66811,0.50351,0.01954,0.06818,0.90809,0.93573,0.97189,0.90473,0.46323,0.33319,0.02771,0.04921,0.000891022,0.000891022,0.000891022
22,1928.79,0.6647,0.49148,0.02041,0.06749,0.93074,0.92233,0.97393,0.90159,0.47417,0.33836,0.02911,0.04933,0.000880023,0.000880023,0.000880023
23,2014.85,0.65619,0.48912,0.01952,0.0622,0.92496,0.9321,0.97299,0.90865,0.43827,0.30683,0.02918,0.04923,0.000869024,0.000869024,0.000869024
24,2100.89,0.65227,0.48534,0.02037,0.0677,0.92324,0.9541,0.97625,0.91039,0.46793,0.30843,0.02968,0.0522,0.000858025,0.000858025,0.000858025
25,2186.93,0.63358,0.46527,0.01953,0.06213,0.9509,0.9128,0.97586,0.90937,0.44358,0.30186,0.02788,0.05661,0.000847026,0.000847026,0.000847026
26,2273.28,0.63066,0.45216,0.0193,0.06445,0.93169,0.92545,0.97408,0.91107,0.45225,0.3057,0.03027,0.05027,0.000836027,0.000836027,0.000836027
27,2359.49,0.62855,0.45627,0.01901,0.06297,0.93801,0.94727,0.97965,0.91513,0.44883,0.28528,0.02904,0.04666,0.000825029,0.000825029,0.000825029
