epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75217,1.65436,4.8447,2.19277,0.86848,0.13004,0.27169,0.18821,1.12795,3.41277,1.73103,0.0016,0.0016,0.0016
2,13.2151,1.16271,3.10315,1.67441,0.53579,0.87396,0.80053,0.64569,0.91957,2.07556,1.52616,0.00329455,0.00329455,0.00329455
3,20.7254,0.92954,1.46271,1.44216,0.90119,0.97772,0.995,0.87113,0.59783,0.64892,1.22467,0.0049835,0.0049835,0.0049835
4,28.0357,0.73788,0.933,1.32269,0.95824,0.94509,0.995,0.84675,0.6642,0.56779,1.37163,0.00666683,0.00666683,0.00666683
5,33.2236,0.64787,0.68037,1.24261,0.89731,0.95289,0.99222,0.86959,0.54301,0.64306,1.24249,0.00834456,0.00834456,0.00834456
6,38.4605,0.65168,0.65016,1.29418,0.91214,0.91865,0.98107,0.85945,0.63713,0.86401,1.33148,0.0099175,0.0099175,0.0099175
7,43.4289,0.63774,0.58386,1.26703,0.96505,0.98488,0.99339,0.91418,0.46181,0.43625,1.17212,0.009901,0.009901,0.009901
8,51.0775,0.6164,0.56922,1.29743,0.98378,0.99694,0.995,0.91487,0.50326,0.45755,1.15647,0.0098845,0.0098845,0.0098845
9,58.7494,0.61466,0.55363,1.29588,0.93857,0.97674,0.995,0.93013,0.48882,0.42863,1.08272,0.009868,0.009868,0.009868
10,66.6512,0.59175,0.53104,1.24891,0.97233,0.98784,0.995,0.92039,0.44318,0.36695,1.17842,0.0098515,0.0098515,0.0098515
11,71.9476,0.59031,0.52313,1.25135,0.97855,0.97942,0.995,0.94622,0.41934,0.3646,1.10013,0.009835,0.009835,0.009835
12,79.682,0.56136,0.50114,1.23592,0.97146,0.97688,0.98929,0.90866,0.52934,0.39709,1.28314,0.0098185,0.0098185,0.0098185
13,84.9637,0.57314,0.49184,1.2555,0.98621,0.99233,0.995,0.9434,0.4049,0.33991,1.12598,0.009802,0.009802,0.009802
14,90.2317,0.56733,0.48501,1.25415,0.98857,0.98949,0.995,0.95273,0.379,0.29928,1.12469,0.0097855,0.0097855,0.0097855
15,97.6124,0.57106,0.49136,1.25147,0.97308,0.9778,0.995,0.91982,0.48856,0.35889,1.24502,0.009769,0.009769,0.009769
16,102.871,0.53995,0.46424,1.24739,0.98135,0.99093,0.995,0.9442,0.40674,0.3513,1.16857,0.0097525,0.0097525,0.0097525
17,108.093,0.53965,0.46699,1.24066,0.97522,0.95543,0.98677,0.92278,0.49481,0.42617,1.18698,0.009736,0.009736,0.009736
18,113.106,0.5555,0.48754,1.25602,0.89797,0.82803,0.90514,0.77477,0.64442,1.03139,1.47756,0.0097195,0.0097195,0.0097195
19,118.393,0.54217,0.44411,1.24165,0.99146,0.99946,0.995,0.9434,0.39489,0.28999,1.12632,0.009703,0.009703,0.009703
20,123.596,0.53406,0.4577,1.23441,0.96664,0.96361,0.995,0.93575,0.43092,0.35804,1.25133,0.0096865,0.0096865,0.0096865
21,128.872,0.53254,0.46999,1.22459,0.98564,1,0.995,0.94104,0.41405,0.30921,1.1473,0.00967,0.00967,0.00967
22,134.138,0.52974,0.45599,1.23506,0.98954,1,0.995,0.96157,0.38475,0.31479,1.10235,0.0096535,0.0096535,0.0096535
23,141.831,0.52443,0.45045,1.21495,0.98738,1,0.995,0.96879,0.35233,0.27662,1.08922,0.009637,0.009637,0.009637
24,149.212,0.52098,0.42717,1.22196,0.98238,1,0.995,0.96253,0.36477,0.2885,1.09112,0.0096205,0.0096205,0.0096205
25,154.294,0.53332,0.46313,1.25779,0.99124,1,0.995,0.95848,0.35831,0.26874,1.12199,0.009604,0.009604,0.009604
26,159.38,0.51727,0.44991,1.20781,0.9891,0.99783,0.995,0.96976,0.35897,0.29439,1.08327,0.0095875,0.0095875,0.0095875
27,166.868,0.5299,0.4597,1.22018,0.9922,1,0.995,0.96775,0.35064,0.27622,1.08647,0.009571,0.009571,0.009571
28,172.1,0.50185,0.43283,1.19335,0.97695,1,0.995,0.9651,0.34255,0.2506,1.08461,0.0095545,0.0095545,0.0095545
29,177.473,0.49837,0.42639,1.20333,0.98666,1,0.995,0.97343,0.33993,0.26532,1.08887,0.009538,0.009538,0.009538
30,184.974,0.49702,0.42878,1.18619,0.97883,0.98548,0.995,0.95076,0.38729,0.28732,1.16565,0.0095215,0.0095215,0.0095215
31,190.688,0.48567,0.42308,1.19339,0.99045,1,0.995,0.95565,0.37034,0.27567,1.12216,0.009505,0.009505,0.009505
32,195.944,0.50364,0.42095,1.20338,0.99253,0.99452,0.995,0.96478,0.34506,0.25473,1.08793,0.0094885,0.0094885,0.0094885
33,201.132,0.4972,0.41613,1.18422,0.98843,0.98538,0.995,0.95765,0.36968,0.27809,1.14394,0.009472,0.009472,0.009472
34,206.386,0.50492,0.43259,1.19689,0.99304,1,0.995,0.96009,0.35067,0.26925,1.13808,0.0094555,0.0094555,0.0094555
35,211.591,0.47961,0.41433,1.20867,0.98665,1,0.995,0.96017,0.34102,0.25493,1.0946,0.009439,0.009439,0.009439
36,216.751,0.48661,0.41857,1.19321,0.98818,0.99531,0.995,0.97018,0.33489,0.25749,1.07818,0.0094225,0.0094225,0.0094225
37,222.02,0.49275,0.42474,1.20039,0.9878,0.99606,0.995,0.9516,0.36432,0.26741,1.09862,0.009406,0.009406,0.009406
38,227.318,0.50035,0.4366,1.2135,0.98939,1,0.995,0.9686,0.36172,0.27601,1.07656,0.0093895,0.0093895,0.0093895
39,232.432,0.4746,0.41573,1.17924,0.98619,1,0.995,0.96989,0.32888,0.25065,1.07802,0.009373,0.009373,0.009373
40,237.711,0.48247,0.4064,1.19741,0.9851,0.99613,0.995,0.95601,0.36545,0.27373,1.09569,0.0093565,0.0093565,0.0093565
41,242.909,0.48267,0.41887,1.19773,0.98675,1,0.995,0.97146,0.3391,0.26283,1.10517,0.00934,0.00934,0.00934
42,248.175,0.46728,0.41387,1.18563,0.99229,1,0.995,0.96362,0.36357,0.25726,1.09552,0.0093235,0.0093235,0.0093235
43,253.52,0.47158,0.39779,1.18482,0.96464,0.97815,0.995,0.95507,0.37812,0.32083,1.12792,0.009307,0.009307,0.009307
44,258.641,0.46586,0.40223,1.1886,0.99197,0.9977,0.995,0.96816,0.34498,0.25575,1.07305,0.0092905,0.0092905,0.0092905
45,263.863,0.46341,0.40349,1.1873,0.98341,1,0.995,0.96779,0.33863,0.24997,1.06491,0.009274,0.009274,0.009274
46,269.161,0.46377,0.38702,1.19432,0.98676,0.99736,0.995,0.96827,0.32363,0.24189,1.07942,0.0092575,0.0092575,0.0092575
47,274.29,0.46272,0.39694,1.19202,0.99266,0.99797,0.995,0.97068,0.32753,0.25003,1.08477,0.009241,0.009241,0.009241
48,279.667,0.46288,0.40408,1.18516,0.9853,1,0.995,0.97117,0.33435,0.25401,1.12012,0.0092245,0.0092245,0.0092245
49,285.632,0.45778,0.38977,1.18808,0.98957,1,0.995,0.96595,0.34138,0.24316,1.10454,0.009208,0.009208,0.009208
50,290.887,0.47145,0.40151,1.20194,0.98405,0.9948,0.995,0.97153,0.32629,0.23396,1.09689,0.0091915,0.0091915,0.0091915
51,295.669,0.47676,0.40745,1.19964,0.98631,1,0.995,0.973,0.3008,0.22947,1.12261,0.009175,0.009175,0.009175
52,300.363,0.45871,0.40008,1.18131,0.98362,1,0.995,0.96752,0.32444,0.23932,1.09302,0.0091585,0.0091585,0.0091585
53,305.64,0.44923,0.386,1.18112,0.99296,0.99783,0.995,0.96305,0.34562,0.24662,1.10101,0.009142,0.009142,0.009142
54,311.001,0.4555,0.39977,1.19291,0.98694,0.9963,0.995,0.95476,0.37264,0.26226,1.13523,0.0091255,0.0091255,0.0091255
55,315.811,0.45662,0.39577,1.19452,0.98864,1,0.995,0.97804,0.30149,0.21885,1.08352,0.009109,0.009109,0.009109
56,323.246,0.45,0.39534,1.17386,0.98298,1,0.995,0.96176,0.35732,0.2496,1.10169,0.0090925,0.0090925,0.0090925
57,328.248,0.44444,0.38719,1.16817,0.98852,0.99862,0.995,0.96528,0.32178,0.23677,1.08823,0.009076,0.009076,0.009076
58,333.556,0.44649,0.39299,1.15991,0.99177,0.99009,0.995,0.97094,0.31815,0.24387,1.08187,0.0090595,0.0090595,0.0090595
59,338.794,0.44332,0.37949,1.15801,0.98836,0.99473,0.995,0.96749,0.3268,0.24393,1.07949,0.009043,0.009043,0.009043
60,344.122,0.45485,0.40225,1.18636,0.98998,1,0.995,0.97006,0.30986,0.23029,1.07814,0.0090265,0.0090265,0.0090265
61,349.36,0.44438,0.3853,1.17613,0.9933,1,0.995,0.97121,0.33718,0.24319,1.08403,0.00901,0.00901,0.00901
62,354.17,0.45268,0.38925,1.16876,0.98632,0.98156,0.995,0.95553,0.35961,0.25887,1.11354,0.0089935,0.0089935,0.0089935
63,359.209,0.4405,0.37518,1.16161,0.98779,1,0.995,0.9683,0.31558,0.22873,1.07529,0.008977,0.008977,0.008977
64,364.309,0.44235,0.37123,1.16168,0.98577,1,0.995,0.97716,0.31279,0.22631,1.09408,0.0089605,0.0089605,0.0089605
65,369.535,0.45317,0.39573,1.16211,0.98712,0.99189,0.995,0.95584,0.36729,0.27124,1.15483,0.008944,0.008944,0.008944
66,374.762,0.43634,0.38739,1.15383,0.95535,0.96677,0.98741,0.95164,0.36234,0.32024,1.18639,0.0089275,0.0089275,0.0089275
67,379.857,0.4475,0.40338,1.18939,0.99096,0.99921,0.995,0.9777,0.29273,0.21455,1.11705,0.008911,0.008911,0.008911
68,384.615,0.43406,0.38654,1.16353,0.98805,1,0.995,0.96564,0.33977,0.23599,1.12968,0.0088945,0.0088945,0.0088945
69,389.454,0.43654,0.37424,1.17354,0.99015,1,0.995,0.97186,0.32542,0.22545,1.07665,0.008878,0.008878,0.008878
70,394.485,0.44641,0.39531,1.19344,0.99275,1,0.995,0.97544,0.3096,0.22057,1.0952,0.0088615,0.0088615,0.0088615
